COMPLAINT/INQUIRY NUMBER,LICENSE TYPE,ACCOUNT NAME,BIC NUMBER,DATE COMPLAINT/INQUIRY REPORTED ON,INDUSTRY TYPE,ACCOUNT STATUS,SOURCE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY DISPOSITION,COMPLAINT/INQUIRY STATUS,TOTAL RESPONSE TIME,COMPLAINT OR INQUIRY,NATURE OF COMPLAINT/INQUIRY,COMPLAINT/INQUIRY STREET ADDRESS,COMPLAINT/INQUIRY CITY,COMPLAINT/INQUIRY STATE,COMPLAINT/INQUIRY ZIP,COMPLAINT/INQUIRY BOROUGH,ACCOUNT FOCUS OF COMPLAINT/INQUIRY,ACCOUNT ADDRESS,ACCOUNT CITY,ACCOUNT STATE,ACCOUNT ZIP,ACCOUNT PHONE,VEHICLE MAKE,VEHICLE MODEL,VEHICLE TYPE,VEHICLE YEAR,VEHICLE COLOR,CONTACTED COMPLAINANT,UNABLE TO CONTACT COMPLAINANT,METHOD USED TO CONTACT COMPLAINANT,EXPORT DATE,Borough,Latitude,Longitide,Community Board,Council District,Census Tract,BIN,BBL,NTA
2012-00459,,CENTURY WASTE SERVICES L.L.C.,TWC-1323,,Trade Waste,,WEB-MAIL,Referred to Another Agency,Closed,,Complaint,Containers-Unremoved - Trade Waste,156 Winchester Road,Fords,NJ,08863-,,CENTURY WASTE SERVICES L.L.C.,623 DOWD AVENUE,ELIZABETH,RENEWAL APPROVED,08863-,(908) 558-9540,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195782,,,,01/04/2021,Trade Waste,,WEB-MAIL,Resolved,Closed,32.0,Complaint,Containers-Unremoved - Trade Waste,711 West End Avenue between 93rd and 94th,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-193435,Trade Waste,ACTION CARTING ENVIRONMENTAL SERVICES INC.,BIC-1181,04/21/2017,Trade Waste,Active,PHONE - 6300,Unsubstantiated,Closed,12.0,Complaint,Quality of Life-Noise - Trade Waste,30 West 26th Street,New York,NY,10010,Manhattan,ACTION CARTING ENVIRONMENTAL SERVICES INC.,"300 FRANK W. BURR BLVD, STE. 39",TEANECK,NJ,07666,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.744102,-73.989762,5,3,58,1015629,1008270064,Hudson Yards-Chelsea-Flatiron-Union Square
2010-00861,,,,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,202-21 46 Ave.,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-192116,,,,06/30/2015,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All;Recycling - Trade Waste,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-00773,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00264,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Patrol,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192134,,,,07/07/2015,Trade Waste,,SELF-INITIATED,Referred To BIC Legal,Closed,16.0,Complaint,Unlicensed Carter - Trade Waste,118-60 Metropolitan Ave,Kew Gardens,NY,11415,Brooklyn,,,,,,,,,,,,True,False,In Person,2024-02-21,QUEENS,40.706576,-73.833257,9,29,134,4433887,4033220024,Kew Gardens
COMP-191283,,GREGORIO NIETO CARBAJAL,,10/28/2014,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,2.0,Complaint,Illegal Dumping - Trade Waste,Prince Bay and Annedale,Staten Island,NY,,Staten Island,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2008-00209,,,TWC-0,,Trade Waste,,WALK IN,Unsubstantiated,Closed,,Complaint,Unlicensed Carter - Trade Waste,1631 8th Avenue,,NY,,Brooklyn,T-2 Construction,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2006-00913,,,,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Other - All,,,NY,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196306,Trade Waste;Transfer Station,"WASTE CONNECTIONS OF NEW YORK, INC.",BIC-1059 / TS-94 / TS-95 / TS-123 / TS-124,01/06/2022,Trade Waste,Active,PHONE - 6300,Resolved,Closed,1.0,Complaint,Other - All,161 Freedom Place,New York,NY,10069,Manhattan,"WASTE CONNECTIONS OF NEW YORK, INC.","120 WOOD AVENUE SOUTH, SUITE 302",ISELIN,NJ,08830,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.777502,-73.987926,7,6,155,1085804,1011710132,Lincoln Square
2012-01331,,,,,Trade Waste,,SELF-INITIATED,,,,Inquiry,Decals - Trade Waste;Hurricane Cleanup,112-20 Beach Channel Dr.,UNKNOWN,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00234,,"JORO CARTING, INC.",TWC-180,,Trade Waste,,WEB-MAIL,Resolved,Closed,,Complaint,Recycling - Trade Waste,,,,,,JORO CARTING INC.,354-95TH STREET,BROOKLYN,RENEWAL APPROVED,,(718) 871-9822,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00150,,SCARA INDUSTRIES INC,TWC-3535,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Unlicensed Carter - Trade Waste,Myrtle Ave and also Amsterdam Ave. (Bklyn; Manh),nyc,NY,,,SCARA INDUSTRIES INC,144 JERVIS AVE,COPIAGUE,PENDING,,(516) 809-5362,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-196156,Trade Waste,ACTION CARTING ENVIRONMENTAL SERVICES INC.,BIC-1181,09/21/2021,Trade Waste,Active,PHONE - 6300,Resolved,Closed,2.0,Complaint,Service - All,,,,,,ACTION CARTING ENVIRONMENTAL SERVICES INC.,"300 FRANK W. BURR BLVD, STE. 39",TEANECK,NJ,07666,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
INQ-192071,,,,06/19/2015,Trade Waste,,311/PHONE - 9278,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2013-00672,,"CLEAN VENTURE, INC",TWC-3573,,Trade Waste,,EMAIL,Resolved,Closed,,Complaint,Other - All,,,,,,"CLEAN VENTURE, INC",201 SOUTH FIRST STREET,ELIZABETH,RENEWAL APPROVED,,(908) 355-5800,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00243,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00735,,,,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00798,,,TWC-NaN,,Trade Waste,,PHONE - 6275,Referred to Another Agency,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,117-01 Springfield Blvd.,Cambria Heights,NY,11411-,Brooklyn,N/A,,,,,,,,,,,False,False,,2024-02-21,QUEENS,40.696093,-73.743621,13,27,608,4274304,4127340008,Cambria Heights
INQ-192606,,,,11/19/2015,Trade Waste,,WEB-MAIL,Referred back to 311,Closed,0.0,Inquiry,Misinformation - All,,,,,,,,,,,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2008-01561,,,,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-189945,Trade Waste,JOE'S WASTE PAPER CORP.,BIC-269,12/30/2013,Trade Waste,Active,PHONE - 6300,Resolved,Closed,3.0,Complaint,Information - All;Other - All,368 Richardson St.,Brooklyn,,,,JOE'S WASTE PAPER CORP.,P.O. BOX 320358,BROOKLYN,NY,11232,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-194484,Trade Waste;Transfer Station,"WASTE CONNECTIONS OF NEW YORK, INC.",BIC-1059 / TS-94 / TS-95 / TS-123 / TS-124,11/14/2018,Trade Waste,Active,PHONE - 6300,Resolved,Closed,5.0,Complaint,Quality of Life-Noise - Trade Waste,189 2nd Avenue,New York,NY,10003,,"WASTE CONNECTIONS OF NEW YORK, INC.","120 WOOD AVENUE SOUTH, SUITE 302",ISELIN,NJ,08830,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.730872,-73.986029,3,2,40,1006836,1004670031,East Village
2008-01295,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00363,,,,,Trade Waste,,311/PHONE - 9278,Unable to Contact Complainant,Closed,,Inquiry,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01050,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00590,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00180,,,,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,FOIL - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01317,,,TWC-NaN,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,71-48 Nansen Ave.,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00815,,,,,Trade Waste,,MAIL,Violation Written,Closed,,Complaint,Unlicensed Carter - Trade Waste,91-03 211 St.,nyc,NY,,Queens,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01783,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred back to 311,Closed,,Complaint,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-194354,,KWN CARTING LLC,BIC-495410,09/25/2018,Trade Waste,Active,WEB-MAIL,Resolved,Closed,0.0,Inquiry,Licensing - All,6143 186th Street,Flushing,NY,11365,Queens,KWN CARTING LLC,"61-43 186TH STREET, SUITE 585",FRESH MEADOWS,NY,11365,,,,,,,True,False,Phone Call,2024-02-21,QUEENS,40.739873,-73.788239,8,23,1347,4314854,4070750037,Fresh Meadows-Utopia
COMP-196990,Trade Waste,ROYAL WASTE SERVICES INC.,BIC-1240,08/09/2023,Trade Waste,Active,PHONE - 6300,Referred To BIC Legal,Closed,1.0,Complaint,Rates-Overcharge - Trade Waste,6931 3rd Ave,Brooklyn,NY,11209,Brooklyn,ROYAL WASTE SERVICES INC.,168-46 DOUGLAS AVENUE,JAMAICA,NY,11433-,,,,,,,False,True,E-Mail,2024-02-21,BROOKLYN,40.63542,-74.026154,10,43,68,3145662,3058720001,Bay Ridge
2010-01598,,PERCIBALLI CONTAINER SERVICE INC.,TWC-2734,,Trade Waste,,WEB-MAIL,Resolved,Closed,,Complaint,Information - All,,,,,,"PERCIBALLI CONTAINER SERVICE, INC.",460 LIBERTY AVENUE,STATEN ISLAND,RENEWAL PENDING,10312-,(718) 351-3373,,,,,,False,False,,2024-02-21,,,,,,,,,
2011-01213,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Resolved,Closed,,Complaint,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2009-00049,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Recycling - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2006-01073,,"LIBERTY ASHES, INC.",TWC-112,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Quality of Life-Noise - Trade Waste,,,NY,,,LIBERTY ASHES INC.,112 PHYLIS COURT,ELMONT,RENEWAL PENDING,,(516) 354-6583,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194443,Trade Waste,ACTION CARTING ENVIRONMENTAL SERVICES INC.,BIC-1181,11/01/2018,Trade Waste,Active,PHONE - 6300,Resolved,Closed,1.0,Complaint,Rates-Overcharge - Trade Waste,1658 12th Avenue,New York,NY,10128,Manhattan,ACTION CARTING ENVIRONMENTAL SERVICES INC.,"300 FRANK W. BURR BLVD, STE. 39",TEANECK,NJ,07666,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-196815,,,,03/02/2023,Trade Waste,,WEB-MAIL,Resolved,Closed,1.0,Complaint,Quality of Life-Noise - Trade Waste,,,,,,,,,,,,Peterbilt,320,Rear End Loader,2017,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-193233,,,,11/14/2016,Trade Waste,,SELF-INITIATED,Referred to Another Agency,Closed,0.0,Complaint,Disposal - All;Service - All,,New York,NY,,Manhattan,,,,,,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
COMP-196789,,,,02/03/2023,Trade Waste,,WEB-MAIL,Resolved,Closed,0.0,Complaint,Information - All,7416 New Utrecht Ave,Brooklyn,NY,11204,Brooklyn,,,,,,,,,,,,True,False,E-Mail,2024-02-21,BROOKLYN,40.616402,-73.99978,11,43,188,3159560,3062140016,Bensonhurst West
INQ-195683,,,,10/07/2020,Trade Waste,,WEB-MAIL,Referred To Licensing,Closed,0.0,Inquiry,Licensing - All,,,,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00281,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-193497,,,,05/31/2017,Trade Waste,,WEB-MAIL,Referred To Licensing,Closed,0.0,Inquiry,Licensing - All,,,,,,,,,,,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2012-00916,,EMPIRE WASTE SERVICE INC.,TWC-1634,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Harassment - All;Service - All,107-02,Ozone Park,NY,11416-,Queens,EMPIRE WASTE SERVICE INC.,910  LEXINGTON BLVD,BETHEL,RENEWAL APPROVED,11416-,(203) 300-5704,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00020,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-194212,,PRIDE RECYCLING & DEMO INCORPORATED,BIC-491905,07/25/2018,Trade Waste,Active,311/PHONE - 9278,Resolved,Closed,0.0,Complaint,Unsafe Driving - Trade Waste,14th Avenue and 45th Street,Brooklyn,NY,11219,,PRIDE RECYCLING & DEMO INCORPORATED,1874 RYDER STREET,BROOKLYN,NY,11234,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-195469,,,,05/26/2020,Trade Waste,,WEB-MAIL,Insufficient Information,Closed,0.0,Complaint,Other - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2011-00826,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195395,Trade Waste,"FALSO CARTING CO., INC.",BIC-142,03/27/2020,Trade Waste,Active,WEB-MAIL,Resolved,Closed,0.0,Complaint,Unsafe Driving - Trade Waste,,,,,,"FALSO CARTING CO., INC.",429 CASANOVA STREET,BRONX,NY,10474-,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
COMP-193273,Trade Waste,CROWN CONTAINER CO. INC.,BIC-307,12/12/2016,Trade Waste,Active,E-Mail,Resolved,Closed,1.0,Complaint,Other - All,,,,,,CROWN CONTAINER CO. INC.,75 AMBY AVENUE,PLAINVIEW,NY,11803,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2009-02144,,"D & D CARTING CO., INC.",TWC-64,,Trade Waste,,EMAIL,Unsubstantiated,Closed,,Complaint,Cardboard-Theft - Trade Waste,437 Knickerbocker Ave,nyc,NY,,Brooklyn,D&D CARTING CO. INC.,107 8 STREET,BROOKLYN,RENEWAL APPROVED,,(718) 965-4790,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190650,,,,06/04/2014,Trade Waste,,WEB-MAIL,Unsubstantiated,Closed,7.0,Complaint,Unlicensed Carter - Trade Waste,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2012-00939,,,TWC-NaN,,Trade Waste,,EMAIL,Resolved,Closed,,Inquiry,FOIL - All,,,,,,N/A,,,,11501-,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01828,,,,,Trade Waste,,311/PHONE - 9278,Resolved,Closed,,Inquiry,Quality of Life-Spillage - Trade Waste,1440 Bronx River Ave.,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2006-00839,,,,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Service - All,,,NY,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00651,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Unsubstantiated,Closed,,Inquiry,Recycling - Trade Waste,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-00113,,"CROWN CONTAINER TRANSFER STATION CO., INC.",TWC-307,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Billing - All,,,,,,CROWN CONTAINER CO. INC.,75 AMBY AVENUE,PLAINVIEW,RENEWAL APPROVED,,(718) 527-1414,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-194048,,,,04/29/2018,Trade Waste,,WEB-MAIL,Resolved,Closed,1.0,Inquiry,Licensing - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2011-00618,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192869,Trade Waste,DSM TRUCKING LLC,BIC-4624,04/29/2016,Trade Waste,Active,PHONE - 6300,Resolved,Closed,0.0,Complaint,Other - All,,,,,,DSM TRUCKING LLC,182 MEMORIAL PKWY,BLOOMFIELD,NJ,07003,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2013-00688,,,TWC-0,,Trade Waste,,EMAIL,Resolved,Closed,,Inquiry,Unlicensed Carter - Trade Waste,82 Flatbush Ave.,Brooklyn,NY,,Brooklyn,,,,UNLICENSED,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-193856,Trade Waste,"LIBERTY ASHES, INC.",BIC-112,01/26/2018,Trade Waste,Active,PHONE - 6300,Resolved,Closed,0.0,Inquiry,Contracts - Trade Waste,1407 86th Street,Brooklyn,NY,11282,Brooklyn,LIBERTY ASHES INC.,94-02 150TH STREET,JAMAICA,NY,11435,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.612605,-74.011482,11,43,170,,,Bath Beach
COMP-194285,Trade Waste,FLASH RECYCLING CORPORATION,BIC-1258,08/28/2018,Trade Waste,Active,WEB-MAIL,Unsubstantiated,Closed,0.0,Complaint,Harassment - All,,,,,,FLASH RECYCLING CORP,P. O. BOX 832,LIVINGSTON,NJ,07039-,,,,,,,False,True,,2024-02-21,,,,,,,,,
COMP-193772,Trade Waste,"VALENTINO CARTING, CORP.",BIC-4424,12/04/2017,Trade Waste,Active,E-Mail,Resolved,Closed,9.0,Complaint,Illegal Dumping - Trade Waste,382 Wadsworth Ave,New York,NY,10040,Manhattan,VALENTINO CARTING CORP.,382 WADSWORTH AVE 3F,NEW YORK,NY,10040-,,,,,,,True,False,Phone Call,2024-02-21,MANHATTAN,40.856688,-73.929353,12,10,279,1064074,1021700256,Washington Heights North
COMP-193504,,,,06/01/2017,Trade Waste,,WEB-MAIL,Resolved,Closed,1.0,Complaint,Misinformation - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-01569,,,TWC-NaN,,Trade Waste,,WEB-MAIL,Referred back to 311,Closed,,Complaint,Misinformation - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2006-01000,,,,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Disposal - All,,,NY,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-190744,,,,06/26/2014,Trade Waste,,311/PHONE - 9278,Resolved,Closed,20.0,Complaint,Illegal Dumping - Trade Waste,451 East Tremont Avenue,Bronx,NY,10457,Bronx,,,,,,,,,,,,True,False,In Person,2024-02-21,BRONX,40.847188,-73.89881,6,15,395,2011250,2030340054,Claremont-Bathgate
INQ-192689,,,,01/14/2016,Trade Waste,,PHONE - 6300,Referred To Licensing,Closed,0.0,Inquiry,Licensing - All,,,,,,,,,,,,,,,,,True,False,,2024-02-21,,,,,,,,,
2006-01258,,,TWC-NaN,,Trade Waste,,PHONE - 6300,,Closed,,Complaint,Other - All,,,NY,,,,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-195984,,C&D CARTING LLC,BIC-490506,05/26/2021,Trade Waste,Active,PHONE - 6300,Resolved,Closed,2.0,Complaint,Other - All,,,,,,C&D CARTING LLC,6238 138TH STREET,FLUSHING,NY,11367,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-00697,,,TWC-NaN,,Trade Waste,,PHONE - OTHER,Resolved,Closed,,Inquiry,Information - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2007-00752,,,TWC-1059,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Quality of Life-Noise - Trade Waste,,,NY,,,"IESI NY CORPORATION, SUBSIDIARY OF BFI CANADA INC.",1099 WALL STREET WEST,LYNDHURST,RENEWAL APPROVED,,(201) 443-3000,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-192825,,,,04/08/2016,Trade Waste,,WEB-MAIL,Resolved,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
COMP-190052,,,,01/21/2014,Trade Waste,,E-Mail,Arrest,Closed,2.0,Complaint,Cardboard-Theft - Trade Waste,Knickerbocker Avenue,Brooklyn,NY,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2009-00534,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred back to 311,Closed,,Inquiry,Misinformation - All;Illegal Dumping - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2008-01635,,,,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Licensing - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2012-00230,,,,,Trade Waste,,EMAIL,Resolved,Closed,,Complaint,Information - All;Contracts - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-191606,,,,02/02/2015,Trade Waste,,WEB-MAIL,Referred To Licensing,Closed,7.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2009-02425,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Complaint,Unlicensed Carter - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190251,,,,03/06/2014,Trade Waste,,PHONE - 6300,Resolved,Closed,0.0,Inquiry,Information - All;Decals - Trade Waste,,,,,,,,,,,,,,,,,True,False,E-Mail,2024-02-21,,,,,,,,,
2013-00188,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Referred to Another Agency,Closed,,Inquiry,Misinformation - All;Illegal Dumping - Trade Waste,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-194433,,,,10/30/2018,Trade Waste,,WEB-MAIL,Unsubstantiated,Closed,1.0,Inquiry,Other - All,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
COMP-195825,,,,02/17/2021,Trade Waste,,WEB-MAIL,Unsubstantiated,Closed,8.0,Complaint,Waste Oil - Trade Waste,,,,,,,,,,,,,,,,,False,True,,2024-02-21,,,,,,,,,
2009-00697,,,TWC-NaN,,Trade Waste,,PHONE - 6300,Resolved,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2013-00659,,,TWC-NaN,,Trade Waste,,311/PHONE - 9278,Insufficient Information,Closed,,Inquiry,Other - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
2010-01052,,IMPERIAL SANITATION CORP.,TWC-340,,Trade Waste,,PHONE - OTHER,Unsubstantiated,Closed,,Complaint,Quality of Life-Noise - Trade Waste,52 St & Woodside Ave,nyc,NY,,Queens,IMPERIAL SANITATION CORP.,18-61 41ST STREET,ASTORIA,RENEWAL APPROVED,,(718) 721-2323,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-192951,,RELIABLE WASTE INC.,BIC-485156,06/09/2016,Trade Waste,Active,PHONE - 6300,Resolved,Closed,39.0,Complaint,Cardboard-Theft - Trade Waste,716 Knickerbocker Ave,Brooklyn,NY,11221,Brooklyn,RELIABLE WASTE INC.,6131 65TH ST.,MIDDLE VILLAGE,NY,11379,,,,,,,True,False,Phone Call,2024-02-21,BROOKLYN,40.694189,-73.91025,4,37,437,3077994,3033910028,Bushwick North
2010-01389,,,,,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,,Inquiry,Information - All,,,,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-195251,,,,12/20/2019,Trade Waste,,311/PHONE - 9278,Resolved,Closed,7.0,Inquiry,Other - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2008-01092,,,,,Trade Waste,,311/PHONE - 9278,Referred To BIC Intel,Closed,,Inquiry,Licensing - All,,,NY,,,N/A,,,,,,,,,,,False,False,,2024-02-21,,,,,,,,,
INQ-190353,,,,03/24/2014,Trade Waste,,311/PHONE - 9278,Referred To Licensing,Closed,0.0,Inquiry,Information - All,,,,,,,,,,,,,,,,,True,False,Phone Call,2024-02-21,,,,,,,,,
2010-01582,,PARADISE LANDSCAPING,TWC-396,,Trade Waste,,PHONE - OTHER,Unable to Contact Complainant,Closed,,Inquiry,Unlicensed Carter - Trade Waste,,,,,,PARADISE LANDSCAPING,2434 BURNETT STREET,BROOKLYN,WITHDRAWN,,(718) 891-7738,,,,,,False,False,,2024-02-21,,,,,,,,,
COMP-191546,Trade Waste,225 OAK LLC,"BIC-1390 , BIC-597",01/12/2015,Trade Waste,Inactive,MAIL,Unsubstantiated,Closed,14.0,Complaint,Other - All,,,,,,225 OAK LLC,300 EAST 56TH STREET  SUITE 26H,NEW YORK,NY,10022,,,,,,,False,True,,2024-02-21,,,,,,,,,
